# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_anti_cis_2000K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 30.0 cm-1
# # frequency_cm-1,intensity_normalized
3.600000000000000000e+02,1.108578299887663515e-01
3.610000000000000000e+02,1.137246830020517407e-01
3.620000000000000000e+02,1.165149999907424266e-01
3.630000000000000000e+02,1.191675435199255062e-01
3.640000000000000000e+02,1.216278923495678066e-01
3.650000000000000000e+02,1.238513203693898806e-01
3.660000000000000000e+02,1.258046330688216141e-01
3.670000000000000000e+02,1.274668871646799373e-01
3.680000000000000000e+02,1.288290858349775136e-01
3.690000000000000000e+02,1.298929859802376574e-01
3.700000000000000000e+02,1.306691167124926778e-01
3.710000000000000000e+02,1.311740925705784933e-01
3.720000000000000000e+02,1.314273854540248532e-01
3.730000000000000000e+02,1.314478789928829050e-01
3.740000000000000000e+02,1.312506748616094343e-01
3.750000000000000000e+02,1.308446592357017102e-01
3.760000000000000000e+02,1.302312435990489181e-01
3.770000000000000000e+02,1.294045141032097723e-01
3.780000000000000000e+02,1.283528244058978196e-01
3.790000000000000000e+02,1.270616796811653015e-01
3.800000000000000000e+02,1.255175713122326231e-01
3.810000000000000000e+02,1.237122182011970717e-01
3.820000000000000000e+02,1.216464878834848246e-01
3.830000000000000000e+02,1.193332028029445852e-01
3.840000000000000000e+02,1.167981794365786086e-01
3.850000000000000000e+02,1.140792147916186161e-01
3.860000000000000000e+02,1.112232210545782973e-01
3.870000000000000000e+02,1.082821352127526088e-01
3.880000000000000000e+02,1.053084420763085727e-01
3.890000000000000000e+02,1.023510994452154904e-01
3.900000000000000000e+02,9.945241308016149195e-02
3.910000000000000000e+02,9.664610541923454590e-02
3.920000000000000000e+02,9.395656768171650741e-02
3.930000000000000000e+02,9.139912998387113297e-02
3.940000000000000000e+02,8.898111646077984382e-02
3.950000000000000000e+02,8.670343007820892345e-02
3.960000000000000000e+02,8.456239932387986380e-02
3.970000000000000000e+02,8.255160876005633586e-02
3.980000000000000000e+02,8.066344643402707792e-02
3.990000000000000000e+02,7.889015924370791633e-02
4.000000000000000000e+02,7.722432133455325864e-02
4.010000000000000000e+02,7.565876923989903191e-02
4.020000000000000000e+02,7.418619614437658993e-02
4.030000000000000000e+02,7.279867975038882555e-02
4.040000000000000000e+02,7.148741690582906261e-02
4.050000000000000000e+02,7.024285574120038567e-02
4.060000000000000000e+02,6.905527971147265576e-02
4.070000000000000000e+02,6.791574856383798819e-02
4.080000000000000000e+02,6.681718236837604075e-02
4.090000000000000000e+02,6.575532186696186887e-02
4.100000000000000000e+02,6.472932789803835518e-02
4.110000000000000000e+02,6.374188341730807617e-02
4.120000000000000000e+02,6.279879666484872169e-02
4.130000000000000000e+02,6.190822534885806472e-02
4.140000000000000000e+02,6.107971163519412827e-02
4.150000000000000000e+02,6.032322370652388327e-02
4.160000000000000000e+02,5.964835463648570507e-02
4.170000000000000000e+02,5.906376015009173752e-02
4.180000000000000000e+02,5.857684989676505138e-02
4.190000000000000000e+02,5.819369884234455725e-02
4.200000000000000000e+02,5.791912133304485955e-02
4.210000000000000000e+02,5.775684674436568772e-02
4.220000000000000000e+02,5.770974492688026730e-02
4.230000000000000000e+02,5.778006438210701867e-02
4.240000000000000000e+02,5.796966081175502356e-02
4.250000000000000000e+02,5.828020550597822619e-02
4.260000000000000000e+02,5.871337109463010961e-02
4.270000000000000000e+02,5.927099671229858063e-02
4.280000000000000000e+02,5.995523621724509894e-02
4.290000000000000000e+02,6.076869229485827584e-02
4.300000000000000000e+02,6.171453645418615436e-02
4.310000000000000000e+02,6.279661048585899463e-02
4.320000000000000000e+02,6.401949962404727967e-02
4.330000000000000000e+02,6.538856281438787388e-02
4.340000000000000000e+02,6.690990307004590631e-02
4.350000000000000000e+02,6.859026271825856280e-02
4.360000000000000000e+02,7.043683504203639145e-02
4.370000000000000000e+02,7.245699417095151362e-02
4.380000000000000000e+02,7.465795627006403812e-02
4.390000000000000000e+02,7.704639393177077633e-02
4.400000000000000000e+02,7.962802975172698916e-02
4.410000000000000000e+02,8.240723293218475687e-02
4.420000000000000000e+02,8.538663353346938323e-02
4.430000000000000000e+02,8.856675234320596224e-02
4.440000000000000000e+02,9.194562184534664506e-02
4.450000000000000000e+02,9.551835159120325436e-02
