# Frequency (cm-1)	Intensity (arb. units)
577.73	7.011565e-09
579.07	6.929142e-09
580.40	6.847795e-09
581.74	6.767508e-09
583.07	6.688267e-09
584.40	6.610057e-09
585.74	6.532864e-09
587.07	6.456672e-09
588.41	6.381467e-09
589.74	6.307237e-09
591.08	6.233967e-09
592.41	6.161643e-09
593.74	6.090253e-09
595.08	6.019783e-09
596.41	5.950220e-09
597.75	5.881552e-09
599.08	5.813766e-09
600.42	5.746850e-09
601.75	5.680792e-09
603.08	5.615580e-09
604.42	5.551201e-09
605.75	5.487645e-09
607.09	5.424900e-09
608.42	5.362955e-09
609.76	5.301798e-09
611.09	5.241419e-09
612.42	5.181807e-09
613.76	5.122951e-09
615.09	5.064842e-09
616.43	5.007467e-09
617.76	4.950819e-09
619.09	4.894886e-09
620.43	4.839658e-09
621.76	4.785127e-09
623.10	4.731282e-09
624.43	4.678114e-09
625.77	4.625613e-09
627.10	4.573772e-09
628.43	4.522580e-09
629.77	4.472029e-09
631.10	4.422109e-09
632.44	4.372814e-09
633.77	4.324133e-09
635.11	4.276059e-09
636.44	4.228583e-09
637.77	4.181697e-09
639.11	4.135394e-09
640.44	4.089665e-09
641.78	4.044503e-09
643.11	3.999899e-09
644.45	3.955847e-09
645.78	3.912339e-09
647.11	3.869368e-09
648.45	3.826926e-09
649.78	3.785006e-09
651.12	3.743602e-09
652.45	3.702706e-09
653.79	3.662311e-09
655.12	3.622412e-09
656.45	3.583001e-09
657.79	3.544071e-09
659.12	3.505617e-09
660.46	3.467632e-09
661.79	3.430110e-09
663.13	3.393044e-09
664.46	3.356428e-09
665.79	3.320258e-09
667.13	3.284525e-09
668.46	3.249226e-09
669.80	3.214354e-09
671.13	3.179903e-09
672.47	3.145868e-09
673.80	3.112244e-09
675.13	3.079024e-09
676.47	3.046204e-09
677.80	3.013779e-09
679.14	2.981743e-09
680.47	2.950091e-09
681.81	2.918818e-09
683.14	2.887919e-09
684.47	2.857389e-09
685.81	2.827224e-09
687.14	2.797418e-09
688.48	2.767968e-09
689.81	2.738867e-09
691.14	2.710113e-09
692.48	2.681700e-09
693.81	2.653623e-09
695.15	2.625879e-09
696.48	2.598463e-09
697.82	2.571371e-09
699.15	2.544599e-09
700.48	2.518142e-09
701.82	2.491997e-09
703.15	2.466159e-09
704.49	2.440625e-09
705.82	2.415390e-09
707.16	2.390451e-09
708.49	2.365804e-09
709.82	2.341445e-09
711.16	2.317371e-09
712.49	2.293578e-09
713.83	2.270062e-09
715.16	2.246819e-09
716.50	2.223847e-09
717.83	2.201142e-09
