time_fs,energy_kcal,C3-H7,O2-H7,O1-O2,C1-O1
103.5,-192338.84110425087,1.0547039052649683,2.589594669132354,1.6311421341616157,1.4803743169693284
105.0,-192326.86222315236,1.1003203512128554,2.6037140831335135,1.6308095684723758,1.4907793471439228
106.5,-192317.5090367704,1.0499537037831697,2.622079010338714,1.6362089147113426,1.490066622411419
108.0,-192311.0698891411,1.026902757775826,2.635290216730025,1.649259303318705,1.4853793841144738
109.5,-192311.58683852572,1.0760862735347967,2.6580430311043997,1.6712124313519732,1.4796185424190056
111.0,-192310.5754092162,1.091859441482213,2.699227454499319,1.7023501061763058,1.474744997493334
112.5,-192311.5367714044,1.0227974017380341,2.74270257950253,1.7408310628408215,1.473008889652271
114.0,-192303.3740469243,0.9587145259255432,2.7823862187527144,1.7827166025717622,1.4729993023070285
115.5,-192309.14776581453,0.9825439668982924,2.8145081378349537,1.8230708369890805,1.4718240083709915
117.0,-192309.35668375934,1.002973266147442,2.826142772634862,1.8582477887203124,1.466253381625753
118.5,-192310.36052383404,0.9764107793296504,2.8020537919248794,1.8864593158735956,1.4515781887843013
120.0,-192319.49579295664,0.989392777139353,2.725395005680224,1.9077262732429758,1.4218439019291558
121.5,-192320.54797671598,1.0415384611922613,2.5892191122106345,1.9243867834538306,1.376894237242495
123.0,-192325.93649317994,1.0638693954972929,2.4359109044957927,1.9392899976731741,1.3258697101458765
124.5,-192323.3592647872,1.0431207076948827,2.337621686337188,1.953224314946295,1.2790280582077929
126.0,-192327.60535427625,1.0332654227341973,2.3154241794319375,1.9663488810324496,1.2466681764828424
127.5,-192329.6268441116,1.084560645092384,2.3277408765238796,1.9763542441465232,1.239963607746986
129.0,-192331.46650687314,1.102399336101872,2.3744662601669346,1.9770147532611024,1.2613510644918249
130.5,-192332.91186159797,1.0144137150780004,2.4503552014641428,1.963133957780995,1.2951339608503807
132.0,-192341.58891418783,0.9782635791034243,2.4715967950852535,1.934315113473776,1.3227797818686833
133.5,-192352.12831215395,1.032235346529589,2.4182823472149364,1.8901100216434628,1.339793564452278
135.0,-192355.84251213385,0.9777632917842694,2.3825096050862884,1.8278399150918359,1.3499527669672977
136.5,-192356.32708487555,0.9674953508628831,2.313466498884676,1.7486637242355185,1.3560150015385382
138.0,-192348.05922441868,1.0677080115298567,2.1909647272552544,1.6582858542112664,1.3594951280112282
139.5,-192352.26343358748,1.0573748287154237,2.1290196471964546,1.5643269364249508,1.363224977912156
141.0,-192352.16643133268,1.0308533790232124,2.0786472292217484,1.4756924847342299,1.3677442670672932
142.5,-192355.43985315243,1.0825204815669003,2.0228691950315785,1.4025865436599387,1.3720728669232385
144.0,-192348.7353379272,1.0778753219772976,2.07436547594671,1.3554698553272462,1.3775948418884008
145.5,-192349.19433705413,1.0169293247770164,2.221028223020459,1.341453204702176,1.3845796925530038
147.0,-192339.14578572064,1.0261424250932591,2.3753721232043192,1.361594157407622,1.3864905983472364
148.5,-192336.87648616952,1.0315066424686692,2.5024075211636747,1.409264877896459,1.3800012607371643
150.0,-192332.87030894647,0.9697196684206443,2.584205585731651,1.476155934265259,1.3670561087509567
151.5,-192339.92646266564,0.96238771408704,2.632255274097449,1.5540324611184362,1.3545787127351758
153.0,-192340.78931708244,1.0059830729518646,2.663859476284135,1.6353116870020572,1.3499966690746095
154.5,-192349.76065199554,0.9979762320710182,2.6809043471397103,1.7147888453393532,1.3596851390373708
156.0,-192345.32749047043,1.0013455126803683,2.7064169311498794,1.7899495581080336,1.383848441838592
157.5,-192343.34392723307,1.041786141758839,2.7622041660147296,1.8584359729624098,1.4124963613511357
159.0,-192333.683443483,1.0583154509678885,2.8428331737374335,1.917267755052277,1.4328379208645778
160.5,-192329.41348108125,1.0727139721631425,2.9278834571028356,1.964866165506545,1.439227409636287
162.0,-192327.03747408168,1.0535803481721322,3.021652286828766,2.0006274115327707,1.4252109258045662
163.5,-192329.0206751803,0.9921251712850704,3.1405898514706356,2.024822573792767,1.3891289895485268
165.0,-192328.2899063344,0.9891033008990165,3.291995155581076,2.0389510967133564,1.3422008079940695
166.5,-192322.25142691488,1.0068564363771442,3.44498279994905,2.0453059510076375,1.297717152472907
168.0,-192317.7834901449,0.9700426485388403,3.5609614699949526,2.046018302896942,1.2637811524717983
169.5,-192316.91513461358,0.9642138252675089,3.6555655523210553,2.041957397121568,1.2454330073230857
171.0,-192323.4503531969,1.0098008623073718,3.7172721174942907,2.0324505708752016,1.2452273134629337
172.5,-192328.00797117993,1.004650373387333,3.694610856254204,2.015089024305608,1.259199754092513
174.0,-192320.99691335866,1.0036131968412607,3.6071169844619364,1.986432625535226,1.2763087675909839
175.5,-192317.3833919479,1.0665748617931903,3.501459823056198,1.9442297805958604,1.2859746375696046
177.0,-192323.37603621418,1.078876339260757,3.4156323507958057,1.8877156338076109,1.2877322666955517
178.5,-192328.98578444158,1.0274716957387957,3.4057276701754553,1.8166354666421147,1.2895585034682042
180.0,-192334.74623487063,1.046356443957606,3.4871066604947383,1.7311169725194844,1.296267605363025
181.5,-192336.80102724448,1.1009612965741213,3.625075987600372,1.6327556776181051,1.3043359181419851
183.0,-192340.89776095835,1.0542547668624078,3.7431334705905615,1.5253359226540322,1.3127338855493518
184.5,-192343.44491933542,0.9799372152414658,3.789961297606241,1.4141012449636248,1.3284163746134001
186.0,-192350.05468104652,0.9866487053680902,3.7830465491717296,1.3089943763391882,1.3529089129608527
187.5,-192345.21335599816,0.998787497134859,3.7452994363243852,1.226940073999991,1.3778875170336014
189.0,-192341.02072830475,0.9703155720675721,3.694422463261527,1.1838059941327979,1.3953512616873576
190.5,-192336.81792936637,0.9753888671057366,3.662273162241768,1.1862112797580464,1.400686152947482
192.0,-192344.0197576168,1.003203778263365,3.642579464535118,1.2308128887030743,1.391143348675305
193.5,-192343.05597645583,1.0090797881048288,3.6080651830595203,1.304980662623377,1.3706710576577679
