# Digitized MVKO experimental IR spectrum — Chung & Lee 2021
# # Source: Chung, C. A.; Lee, Y. P. Commun Chem 2021, 4(1), 8.  DOI: 10.1038/s42004-021-00444-6
# # Panel (a): anti-cis MVKO, 5-10 µs transient FTIR, "processed"
# # Digitization: pixel-intensity scan; achromatic+blue-marker trace;
# #   gray-box regions (1248-1464 & 1140-1245 cm-1) searched below top border.
# # Zero baseline (dashed line in figure) at panel_row 122.5/136.
# # Y-calibration: 4.21×10⁻⁵ ΔAbs per pixel from y=2×10⁻³ tick at row 75.
# # frequency_cm-1,delta_abs_raw,delta_abs_smoothed
1.304018000000000029e+03,1.052499999999999969e-04,2.061855508084077602e-04
1.303307000000000016e+03,1.894499999999999971e-04,2.333089188153503516e-04
1.302596000000000004e+03,2.736500000000000109e-04,2.734618268682832243e-04
1.301884999999999991e+03,3.578499999999999975e-04,3.125084806950677589e-04
1.301173999999999978e+03,3.578499999999999975e-04,3.335854253143559576e-04
1.300462999999999965e+03,3.578499999999999975e-04,3.274096224909907966e-04
1.299751999999999953e+03,4.420499999999999842e-04,2.952238284702710124e-04
1.299040999999999940e+03,1.894499999999999971e-04,2.512558095470378370e-04
1.298329999999999927e+03,1.894499999999999971e-04,2.162124397222703917e-04
1.297619000000000142e+03,1.052499999999999969e-04,2.014773236466663067e-04
1.296907999999999902e+03,1.052499999999999969e-04,2.076606388840105831e-04
1.296197000000000116e+03,1.894499999999999971e-04,2.336062033408837352e-04
1.295485999999999876e+03,3.578499999999999975e-04,2.743988126587700548e-04
1.294775000000000091e+03,3.578499999999999975e-04,3.177405682953096319e-04
1.294064000000000078e+03,2.736500000000000109e-04,3.540704632334236825e-04
1.293353000000000065e+03,3.578499999999999975e-04,3.840664318723721387e-04
1.292642000000000053e+03,5.262500000000000250e-04,4.088441327542080214e-04
1.291931000000000040e+03,5.262500000000000250e-04,4.213542517072782620e-04
1.291220000000000027e+03,4.420499999999999842e-04,4.116021100770116950e-04
1.290509000000000015e+03,4.420499999999999842e-04,3.757458906835322199e-04
1.289798000000000002e+03,2.736500000000000109e-04,3.223906841113898599e-04
1.289086999999999989e+03,2.736500000000000109e-04,2.686816605520812385e-04
1.288375999999999976e+03,1.894499999999999971e-04,2.278819286507552074e-04
1.287664999999999964e+03,1.052499999999999969e-04,2.038886145314133293e-04
1.286953999999999951e+03,1.052499999999999969e-04,1.934026850703349492e-04
1.286242999999999938e+03,1.052499999999999969e-04,1.901988126587700681e-04
1.285532000000000153e+03,1.894499999999999971e-04,1.895440865658584175e-04
1.284820999999999913e+03,1.894499999999999971e-04,1.894612686209686567e-04
1.284110000000000127e+03,1.894499999999999971e-04,1.895007994899187650e-04
1.283398999999999887e+03,1.894499999999999971e-04,1.898601809913455832e-04
1.282688000000000102e+03,1.894499999999999971e-04,1.916521066017858033e-04
1.281977000000000089e+03,2.736500000000000109e-04,1.974508814887979450e-04
1.281266000000000076e+03,1.894499999999999971e-04,2.095009596453556628e-04
1.280555000000000064e+03,1.894499999999999971e-04,2.250099248681969202e-04
1.279844000000000051e+03,2.315499999999999904e-04,2.358005953103219652e-04
1.279133000000000038e+03,3.578499999999999975e-04,2.360176331824346662e-04
1.278422000000000025e+03,3.578499999999999975e-04,2.255363381766668492e-04
1.277711000000000013e+03,3.578499999999999975e-04,2.045958275144248921e-04
1.277000000000000000e+03,1.894499999999999971e-04,1.743146420387277503e-04
1.276288999999999987e+03,1.052499999999999969e-04,1.426817112843533817e-04
1.275577999999999975e+03,1.052499999999999969e-04,1.201070510460882349e-04
1.274866999999999962e+03,1.052499999999999969e-04,1.093814058540240825e-04
1.274155999999999949e+03,1.052499999999999969e-04,1.060308311137410744e-04
1.273444999999999936e+03,1.052499999999999969e-04,1.053478427728479479e-04
1.272733999999999924e+03,1.052499999999999969e-04,1.052575124139790987e-04
1.272023000000000138e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.271311999999999898e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.270601000000000113e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.269179000000000087e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.268468000000000075e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.267757000000000062e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.267046000000000049e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.266335000000000036e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.265624000000000024e+03,1.052499999999999969e-04,1.052500000000000104e-04
1.264913000000000011e+03,1.052499999999999969e-04,1.052575124139790987e-04
1.264201999999999998e+03,1.052499999999999969e-04,1.053440865658584037e-04
1.263490999999999985e+03,1.052499999999999969e-04,1.059837878308118777e-04
1.262779999999999973e+03,1.052499999999999969e-04,1.090145119386181624e-04
1.262068999999999960e+03,1.052499999999999969e-04,1.182210388697896216e-04
1.261357999999999947e+03,1.052499999999999969e-04,1.361529047735189168e-04
1.260646999999999935e+03,1.894499999999999971e-04,1.585470952264810907e-04
1.259936000000000149e+03,1.894499999999999971e-04,1.764789611302103995e-04
1.259224999999999909e+03,1.894499999999999971e-04,1.856854880613818587e-04
1.258514000000000124e+03,1.894499999999999971e-04,1.887162121691881569e-04
1.257802999999999884e+03,1.894499999999999971e-04,1.893559134341416038e-04
1.257092000000000098e+03,1.894499999999999971e-04,1.894424875860209088e-04
