# Equilibrium harmonic reference (FWHM=10 cm-1)
# # frequency_cm-1,intensity_normalized
4.160000000000000000e+02,4.273803845452275527e-03
4.170000000000000000e+02,4.290536966791293899e-03
4.180000000000000000e+02,4.314268266363530634e-03
4.190000000000000000e+02,4.345304961311548080e-03
4.200000000000000000e+02,4.384027278834753440e-03
4.210000000000000000e+02,4.430896955614859953e-03
4.220000000000000000e+02,4.486467444401123598e-03
4.230000000000000000e+02,4.551396054558726548e-03
4.240000000000000000e+02,4.626458262489603797e-03
4.250000000000000000e+02,4.712564414684668364e-03
4.260000000000000000e+02,4.810778992716995342e-03
4.270000000000000000e+02,4.922342486386835012e-03
4.280000000000000000e+02,5.048695681469599246e-03
4.290000000000000000e+02,5.191505737901856710e-03
4.300000000000000000e+02,5.352692697533672356e-03
4.310000000000000000e+02,5.534453842305629701e-03
4.320000000000000000e+02,5.739281363720069411e-03
4.330000000000000000e+02,5.969965731915684998e-03
4.340000000000000000e+02,6.229572471142832274e-03
4.350000000000000000e+02,6.521373165534430361e-03
4.360000000000000000e+02,6.848701894445017625e-03
4.370000000000000000e+02,7.214695857626733655e-03
4.380000000000000000e+02,7.621865034386247559e-03
4.390000000000000000e+02,8.071424904231905284e-03
4.400000000000000000e+02,8.562329325688513085e-03
4.410000000000000000e+02,9.089978131241183146e-03
4.420000000000000000e+02,9.644676911339439274e-03
4.430000000000000000e+02,1.021012620691202737e-02
4.440000000000000000e+02,1.076251078615581176e-02
4.450000000000000000e+02,1.127104426626335948e-02
4.460000000000000000e+02,1.170084263499289977e-02
4.470000000000000000e+02,1.201841523023517919e-02
4.480000000000000000e+02,1.219878527854965922e-02
4.490000000000000000e+02,1.223186203311341612e-02
4.500000000000000000e+02,1.212532226698632802e-02
4.510000000000000000e+02,1.190261892935693538e-02
4.520000000000000000e+02,1.159708459004965900e-02
4.530000000000000000e+02,1.124474733171877856e-02
4.540000000000000000e+02,1.087841995232647317e-02
4.550000000000000000e+02,1.052433480268146447e-02
4.560000000000000000e+02,1.020123046721911793e-02
4.570000000000000000e+02,9.921072297820503899e-03
4.580000000000000000e+02,9.690517639825448754e-03
4.590000000000000000e+02,9.512495418948401296e-03
4.600000000000000000e+02,9.387573712488987698e-03
4.610000000000000000e+02,9.315008636532281366e-03
4.620000000000000000e+02,9.293487114206524027e-03
4.630000000000000000e+02,9.321623352927589298e-03
4.640000000000000000e+02,9.398276602612687727e-03
4.650000000000000000e+02,9.522748610637126951e-03
4.660000000000000000e+02,9.694905500335544019e-03
4.670000000000000000e+02,9.915256066993956285e-03
