# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_syn_trans_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_syn_trans_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
2.800000000000000000e+02,6.582072788347832770e-02
2.810000000000000000e+02,6.510774354091578009e-02
2.820000000000000000e+02,6.356544460054273926e-02
2.830000000000000000e+02,6.148388901689489511e-02
2.840000000000000000e+02,5.917380658827128825e-02
2.850000000000000000e+02,5.688628459374791418e-02
2.860000000000000000e+02,5.478190134932502120e-02
2.870000000000000000e+02,5.293659027347117491e-02
2.880000000000000000e+02,5.136244959368906071e-02
2.890000000000000000e+02,5.003193297417539431e-02
2.900000000000000000e+02,4.890460055566524245e-02
2.910000000000000000e+02,4.795660505011477281e-02
2.920000000000000000e+02,4.720429923576729969e-02
2.930000000000000000e+02,4.670747391274312349e-02
2.940000000000000000e+02,4.654713255981665632e-02
2.950000000000000000e+02,4.678914990684061165e-02
2.960000000000000000e+02,4.745017347149853293e-02
2.970000000000000000e+02,4.847516363617643959e-02
2.980000000000000000e+02,4.973138944035739029e-02
2.990000000000000000e+02,5.102661086867976009e-02
3.000000000000000000e+02,5.215817295141812748e-02
3.010000000000000000e+02,5.298148401255851209e-02
3.020000000000000000e+02,5.346030170129210946e-02
3.030000000000000000e+02,5.366223494485487105e-02
3.040000000000000000e+02,5.370301479067840500e-02
3.050000000000000000e+02,5.368101974777550467e-02
3.060000000000000000e+02,5.364192083031789349e-02
3.070000000000000000e+02,5.358622266465219719e-02
3.080000000000000000e+02,5.350657045553214308e-02
3.090000000000000000e+02,5.342605248237366350e-02
3.100000000000000000e+02,5.341107355455948502e-02
3.110000000000000000e+02,5.355410501467637585e-02
3.120000000000000000e+02,5.394212427145796129e-02
3.130000000000000000e+02,5.462834791096324305e-02
3.140000000000000000e+02,5.561606695122207206e-02
3.150000000000000000e+02,5.685627039000469563e-02
3.160000000000000000e+02,5.825625865471734804e-02
3.170000000000000000e+02,5.969441209436406048e-02
3.180000000000000000e+02,6.103586070894026494e-02
3.190000000000000000e+02,6.214266652554498171e-02
3.200000000000000000e+02,6.287751189569654175e-02
3.210000000000000000e+02,6.311461310785070056e-02
3.220000000000000000e+02,6.277274427169744764e-02
3.230000000000000000e+02,6.185979092212700453e-02
3.240000000000000000e+02,6.049680465879237606e-02
3.250000000000000000e+02,5.890078199505180412e-02
3.260000000000000000e+02,5.733461418164082640e-02
3.270000000000000000e+02,5.605111075266799164e-02
3.280000000000000000e+02,5.525422290643051265e-02
