# Hot-molecule IR emission spectrum  (trajectory-averaged local harmonic)
# # Traj dir: outputs/ir_mace_nm_dipole_anti_cis_300K  MACE: outputs/mace_wB97X_20260417/mace_model.pt
# # Dipole: outputs/ir_nm_pes_anti_cis_300K/dipole_surface.pkl
# # Stride: 300  N_samples: 500  FWHM: 15.0 cm-1
# # frequency_cm-1,intensity_normalized
2.820000000000000000e+02,3.284341899622791189e-02
2.830000000000000000e+02,3.520257681953276735e-02
2.840000000000000000e+02,3.763810847828164691e-02
2.850000000000000000e+02,4.001888303661489676e-02
2.860000000000000000e+02,4.220362360471643232e-02
2.870000000000000000e+02,4.406260411749703815e-02
2.880000000000000000e+02,4.549707838621819267e-02
2.890000000000000000e+02,4.645586318257351882e-02
2.900000000000000000e+02,4.695007144416336181e-02
2.910000000000000000e+02,4.705846404828809004e-02
2.920000000000000000e+02,4.690969592630261226e-02
2.930000000000000000e+02,4.663979087995182016e-02
2.940000000000000000e+02,4.634491454116589082e-02
2.950000000000000000e+02,4.605662352203031967e-02
2.960000000000000000e+02,4.575123285637504311e-02
2.970000000000000000e+02,4.538237273214128231e-02
2.980000000000000000e+02,4.491568773794599179e-02
2.990000000000000000e+02,4.435063860033133798e-02
3.000000000000000000e+02,4.372496699104944096e-02
3.010000000000000000e+02,4.310458075589179011e-02
3.020000000000000000e+02,4.256556622542344293e-02
3.030000000000000000e+02,4.217471130725604367e-02
3.040000000000000000e+02,4.197265011006735824e-02
3.050000000000000000e+02,4.196448848910960122e-02
3.060000000000000000e+02,4.212318949850064886e-02
3.070000000000000000e+02,4.240526992245525345e-02
3.080000000000000000e+02,4.277002417020072528e-02
3.090000000000000000e+02,4.319228884656393930e-02
3.100000000000000000e+02,4.366734840328394956e-02
3.110000000000000000e+02,4.421415377582671447e-02
3.120000000000000000e+02,4.487874917486990578e-02
3.130000000000000000e+02,4.573068889264084863e-02
3.140000000000000000e+02,4.684706370251885688e-02
3.150000000000000000e+02,4.829052302614540715e-02
3.160000000000000000e+02,5.009413861488089259e-02
3.170000000000000000e+02,5.226204790816024043e-02
3.180000000000000000e+02,5.478716710208271501e-02
3.190000000000000000e+02,5.767904385288655927e-02
3.200000000000000000e+02,6.098654687107678274e-02
3.210000000000000000e+02,6.479886163963501089e-02
3.220000000000000000e+02,6.922027470891932432e-02
3.230000000000000000e+02,7.432973123447268737e-02
3.240000000000000000e+02,8.014106623731959145e-02
3.250000000000000000e+02,8.657483391314849119e-02
3.260000000000000000e+02,9.344652926506893942e-02
3.270000000000000000e+02,1.004727616351218239e-01
3.280000000000000000e+02,1.072978569191140319e-01
3.290000000000000000e+02,1.135463679667647330e-01
3.300000000000000000e+02,1.188988575393110231e-01
3.310000000000000000e+02,1.231625618807464240e-01
3.320000000000000000e+02,1.262947572636690108e-01
3.330000000000000000e+02,1.283617777232611001e-01
3.340000000000000000e+02,1.294532823469731753e-01
3.350000000000000000e+02,1.295939896099542465e-01
3.360000000000000000e+02,1.287136691012212009e-01
3.370000000000000000e+02,1.267228954702116217e-01
3.380000000000000000e+02,1.236585077672914534e-01
3.390000000000000000e+02,1.197764483424887810e-01
3.400000000000000000e+02,1.154979614665994359e-01
3.410000000000000000e+02,1.112424139546758645e-01
3.420000000000000000e+02,1.072655142640620979e-01
3.430000000000000000e+02,1.035972438249611327e-01
3.440000000000000000e+02,1.000977775388852131e-01
3.450000000000000000e+02,9.658427263604112134e-02
3.460000000000000000e+02,9.294604283033121306e-02
3.470000000000000000e+02,8.918165514609266431e-02
3.480000000000000000e+02,8.535954904996626014e-02
3.490000000000000000e+02,8.155972248422700688e-02
3.500000000000000000e+02,7.784352252949590378e-02
3.510000000000000000e+02,7.425502880891086954e-02
3.520000000000000000e+02,7.083635570970082951e-02
3.530000000000000000e+02,6.764160662282912850e-02
3.540000000000000000e+02,6.473939430877477530e-02
3.550000000000000000e+02,6.220011524862284480e-02
3.560000000000000000e+02,6.007289836102878283e-02
3.570000000000000000e+02,5.836235706310735627e-02
3.580000000000000000e+02,5.701536869789190082e-02
3.590000000000000000e+02,5.592599405426042225e-02
3.600000000000000000e+02,5.496263900350336490e-02
3.610000000000000000e+02,5.401275089750176561e-02
3.620000000000000000e+02,5.302734941196602519e-02
3.630000000000000000e+02,5.204127146301076173e-02
3.640000000000000000e+02,5.115623274681579263e-02
3.650000000000000000e+02,5.049608068123775939e-02
3.660000000000000000e+02,5.015678158943466525e-02
3.670000000000000000e+02,5.016826016347773753e-02
3.680000000000000000e+02,5.047271551924824295e-02
3.690000000000000000e+02,5.092009084588634826e-02
3.700000000000000000e+02,5.128718011682571049e-02
3.710000000000000000e+02,5.132930274646102520e-02
3.720000000000000000e+02,5.085864759406999447e-02
3.730000000000000000e+02,4.981578005792778457e-02
3.740000000000000000e+02,4.828999571793738538e-02
3.750000000000000000e+02,4.647336761216309953e-02
3.760000000000000000e+02,4.457924353522457750e-02
3.770000000000000000e+02,4.277198509385933545e-02
3.780000000000000000e+02,4.113325326502419860e-02
3.790000000000000000e+02,3.966366786625016849e-02
3.800000000000000000e+02,3.830894407774417670e-02
3.810000000000000000e+02,3.699952940084435399e-02
3.820000000000000000e+02,3.568965503402243833e-02
3.830000000000000000e+02,3.437851315939299823e-02
3.840000000000000000e+02,3.310498064038365496e-02
3.850000000000000000e+02,3.192501680867716046e-02
3.860000000000000000e+02,3.088939726482176074e-02
